Dataset,silhouette_score,davies_bouldin_score,calinski_harabasz_score,adjusted_rand_score,Running_Time(s),Has_Preprocessing,steps
cluto-t7-10k.csv,0.1878722871897686,2.639385747437803,3331.5849733268446,0.237132495171477,2.06,False,0
segment.csv,0.1353769604377496,2.255918293980044,555.3662218973723,0.3436093012910765,0.14,False,0
tae.csv,0.1374110527103025,2.9813535760319,33.708066416682854,0.0174936184306598,0.01,False,0
pathbased.csv,0.0418909210022325,4.330448503498905,60.35443534331632,0.1184472930289209,0.01,False,0
iono.csv,-0.126031475026364,6.096689987131083,6.998900945492267,0.0238747792191972,0.02,False,0
glass.csv,-0.0604181860816619,3.4224893343080343,15.761255053170125,0.0720208087544264,0.01,False,0
sizes2.csv,0.344303377368431,1.2201464472805443,497.1659421340521,0.4532859775554519,0.02,False,0
iris.csv,0.0421926415810773,3.473009938838356,39.091514077681296,0.1312242042672263,0.01,False,0
sonar.csv,-0.0519897639590674,3.2340750921973203,6.248245424234179,0.0213998375821011,0.01,False,0
jain.csv,0.1137729066369819,1.8650342185532964,135.08227857348007,0.0500904459481639,0.01,False,0
sizes4.csv,0.0281091609828406,6.879540013666785,211.5906304059203,0.0635619130497606,0.03,False,0
3-spiral.csv,-0.051776923973793,9.032099448160835,32.72902893430261,0.0316935028020283,0.01,False,0
compound.csv,0.2082982199688644,1.5417073389935874,217.7779106563844,0.3958715327415243,0.01,False,0
thy.csv,-0.1515299637089356,3.8126644261187246,8.178687393592236,0.0421909312325921,0.01,False,0
arrhythmia.csv,-0.0195676567796026,11.036032747264702,7.883545699793818,0.0045434336541312,0.02,False,0
ecoli.csv,-0.0514506301449555,3.293739076755584,25.94810852936256,0.1297145526158374,0.01,False,0
twodiamonds.csv,0.2368957817456545,1.651227707410336,504.1903897330157,0.0879207985010744,0.03,False,0
fourty.csv,0.2846926667033057,1.1090033766750578,700.8394358244857,0.2358805265008963,0.04,False,0
wine.csv,-0.0363572646809268,3.249118303996139,11.076348306624864,0.1267418740806714,0.01,False,0
balance-scale.csv,0.2021405832447236,1.1702277631071238,130.20517269975068,0.0749004014087993,0.01,False,0
cassini.csv,0.4359130907985045,0.9237139627749972,988.042681850051,0.6395557917623784,0.02,False,0
flame.csv,-0.0167292625643926,2.4323721890257777,35.20694099137388,0.0662148259223416,0.01,False,0
engytime.csv,0.2566137184676991,1.308082201518821,1584.519413448047,0.3284136860659771,0.86,False,0
elliptical_10_2.csv,0.2901652151930548,1.326280126133211,233.83672769424072,0.1343498584200246,0.01,False,0
disk-6000n.csv,0.341281607215015,0.8424415694701709,5370.316528988406,0.077619732328535,0.83,False,0
